#timeslot	 backlog in flow 1	 backlog in flow 2
1	0	0
2	0	0
3	2	0
4	2	2
5	2	3
6	2	4
7	1	4
8	0	3
9	2	3
10	3	0
11	2	0
12	0	1
13	2	1
14	1	2
15	1	1
16	1	0
17	0	1
18	0	1
19	1	1
20	1	2
21	2	2
22	2	1
23	1	2
24	0	2
25	0	0
26	0	0
27	0	0
28	1	3
29	0	1
30	0	0
31	0	1
32	1	2
33	0	1
34	1	2
35	2	1
36	2	2
37	1	2
38	1	0
39	0	2
40	0	1
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	1
47	0	0
48	0	0
49	0	1
50	1	1
51	0	1
52	0	1
53	2	1
54	2	1
55	2	1
56	1	2
57	1	0
58	0	2
59	1	0
60	1	1
61	0	1
62	1	1
63	0	1
64	0	0
65	0	0
66	1	0
67	1	2
68	0	0
69	0	1
70	0	1
71	1	0
72	0	0
73	0	0
74	0	0
75	2	1
76	2	1
77	3	2
78	3	3
79	2	3
80	4	3
81	3	2
82	2	2
83	1	3
84	2	2
85	1	2
86	0	1
87	1	0
88	1	1
89	0	2
90	0	1
91	0	1
92	0	0
93	3	0
94	6	1
95	6	2
96	6	2
97	7	1
98	8	1
99	9	1
100	9	2
101	7	3
102	8	1
103	6	2
104	9	1
105	9	0
106	8	0
107	7	0
108	7	1
109	8	1
110	7	2
111	6	2
112	6	1
113	5	1
114	5	1
115	6	3
116	7	3
117	5	6
118	3	5
119	5	4
120	8	2
121	6	1
122	8	1
123	9	1
124	8	2
125	8	4
126	6	7
127	4	7
128	4	8
129	4	6
130	5	4
131	6	2
132	5	2
133	7	2
134	8	1
135	10	1
136	9	2
137	7	3
138	9	3
139	9	5
140	8	5
141	11	4
142	9	5
143	9	5
144	7	6
145	6	4
146	6	3
147	8	2
148	8	3
149	6	2
150	5	4
151	4	5
152	4	6
153	5	5
154	5	5
155	4	6
156	4	5
157	6	4
158	4	4
159	4	4
160	5	3
161	8	0
162	8	0
163	8	2
164	7	2
165	8	4
166	9	3
167	7	4
168	9	4
169	8	6
170	10	7
171	10	8
172	10	6
173	8	6
174	12	4
175	11	3
176	10	3
177	11	1
178	9	0
179	11	1
180	11	1
181	11	2
182	11	1
183	11	1
184	11	1
185	11	2
186	10	2
187	13	5
188	13	4
189	13	2
190	12	2
191	12	2
192	12	2
193	15	0
194	14	2
195	12	3
196	11	3
197	12	3
198	12	2
199	12	3
200	12	3
201	11	3
202	11	2
203	12	3
204	11	3
205	10	4
206	10	3
207	10	2
208	12	1
209	11	1
210	10	1
211	8	2
212	7	2
213	6	3
214	7	6
215	8	5
216	10	5
217	10	4
218	11	2
219	13	2
220	11	2
221	12	2
222	11	2
223	12	1
224	12	4
225	14	1
226	14	0
227	15	1
228	15	1
229	14	2
230	13	2
231	13	4
232	12	4
233	13	4
234	14	5
235	13	4
236	14	4
237	14	4
238	14	3
239	17	1
240	17	1
241	16	0
242	16	0
243	16	0
244	15	0
