#timeslot	 max ID in flow 1-max ID ACKed in flow 1	 max ID in flow 2-max ID ACKed in flow 2
1	0	0
2	0	0
3	2	0
4	3	2
5	5	3
6	7	4
7	8	4
8	9	3
9	13	5
10	3	1
11	2	1
12	2	0
13	6	0
14	7	1
15	1	1
16	0	1
17	0	0
18	0	0
19	1	0
20	1	1
21	1	2
22	3	1
23	2	0
24	3	0
25	0	0
26	0	0
27	0	0
28	1	3
29	0	3
30	1	0
31	1	1
32	2	1
33	1	1
34	2	2
35	3	4
36	5	4
37	6	4
38	0	3
39	1	2
40	0	2
41	0	1
42	0	1
43	0	2
44	0	0
45	0	0
46	0	2
47	0	0
48	0	0
49	0	1
50	1	1
51	1	1
52	0	1
53	2	3
54	2	2
55	4	0
56	5	1
57	0	0
58	0	0
59	0	0
60	0	1
61	0	0
62	1	0
63	0	0
64	0	0
65	0	0
66	1	0
67	1	2
68	0	0
69	0	1
70	0	1
71	1	0
72	0	1
73	0	0
74	0	0
75	2	1
76	3	1
77	6	1
78	8	2
79	9	4
80	13	6
81	14	7
82	15	7
83	16	10
84	15	12
85	16	14
86	17	14
87	18	16
88	20	17
89	21	20
90	23	21
91	25	21
92	0	1
93	3	1
94	8	4
95	10	7
96	12	9
97	15	10
98	18	10
99	21	12
100	23	15
101	23	18
102	24	19
103	24	22
104	27	24
105	29	25
106	8	7
107	9	5
108	11	8
109	11	8
110	12	9
111	10	9
112	10	10
113	9	0
114	9	0
115	11	1
116	14	3
117	14	8
118	14	9
119	16	11
120	21	11
121	18	8
122	20	11
123	23	11
124	24	12
125	26	16
126	26	8
127	26	6
128	10	7
129	10	7
130	12	7
131	13	5
132	14	5
133	13	4
134	16	5
135	20	5
136	21	8
137	21	9
138	18	11
139	20	15
140	21	17
141	26	18
142	26	21
143	28	23
144	28	26
145	29	4
146	29	5
147	33	6
148	35	9
149	35	10
150	36	12
151	37	13
152	39	14
153	42	15
154	42	18
155	27	19
156	29	20
157	33	21
158	33	21
159	35	23
160	38	24
161	41	24
162	43	24
163	45	26
164	46	28
165	49	32
166	52	33
167	52	36
168	56	38
169	57	42
170	61	45
171	63	48
172	65	48
173	65	50
174	69	51
175	70	52
176	71	54
177	72	55
178	72	56
179	76	59
180	78	59
181	80	62
182	82	63
183	84	65
184	86	65
185	88	66
186	89	66
187	94	71
188	96	72
189	96	73
190	97	75
191	99	77
192	101	79
193	104	80
194	105	84
195	105	85
196	106	85
197	32	8
198	34	9
199	27	10
200	29	12
201	30	14
202	32	4
203	35	5
204	36	2
205	37	3
206	39	3
207	41	4
208	43	3
209	44	2
210	45	4
211	22	2
212	23	2
213	24	2
214	27	7
215	27	8
216	31	10
217	28	10
218	27	11
219	29	13
220	27	13
221	28	3
222	27	2
223	28	3
224	30	8
225	32	8
226	34	9
227	37	10
228	39	10
229	40	11
230	41	13
231	43	17
232	31	19
233	32	22
234	35	25
235	33	26
236	36	28
237	34	30
238	34	31
239	35	6
240	35	6
